id,first_name,last_name,email,description
1,Lincoln,Curm,lcurm0@mediafire.com,Repair of rectocele with graft or prosthesis
2,Jo ann,Windows,jwindows1@dot.gov,Renal scan and radioisotope function study
3,Cristi,Jerrand,cjerrand2@narod.ru,Excision of lesion of orbit
4,Greg,Sondon,gsondon3@usgs.gov,"Microscopic examination of specimen from nervous system and of spinal fluid, culture"
5,Loralyn,Arpe,larpe4@slideshare.net,Insertion of vaginal diaphragm
6,Walt,Daily,wdaily5@spiegel.de,"Other partial ostectomy, tibia and fibula"
7,Rockwell,Solway,rsolway6@symantec.com,Total dacryoadenectomy
8,Clifford,Husthwaite,chusthwaite7@nps.gov,Split-thickness graft to breast
9,Wilden,Mathieson,wmathieson8@usatoday.com,Ophthalmologic counseling and instruction
10,Anne,Gladman,agladman9@cafepress.com,Removal of ligature from ureter
11,Holden,McGlaughn,hmcglaughna@reverbnation.com,Insertion of rectal tube
12,Annmaria,Barson,abarsonb@edublogs.org,Culdotomy
13,Isac,Sexten,isextenc@technorati.com,Manual rupture of joint adhesions
14,Gael,Jorgesen,gjorgesend@reference.com,Other and unspecified repair of ventricular septal defect
15,Bonnibelle,O'Sherrin,bosherrine@upenn.edu,Repair of retinal tear by cryotherapy
16,Idelle,Corneliussen,icorneliussenf@nifty.com,Other nonoperative cardiac and vascular measurements
17,Arnoldo,Woollaston,awoollastong@wikipedia.org,Excision or destruction of lesion or tissue of tongue
18,Kimbell,Christofe,kchristofeh@jigsy.com,"Partial excision of pituitary gland, transsphenoidal approach"
19,Lucky,Nulty,lnultyi@smh.com.au,Removal of other therapeutic device from head and neck
20,Darda,Bitchener,dbitchenerj@cocolog-nifty.com,Insertion of oropharyngeal airway
21,Papagena,Scouse,pscousek@microsoft.com,"Cardiopulmonary resuscitation, not otherwise specified"
22,Elga,Semmence,esemmencel@netlog.com,Other operations on thorax
23,Minna,Wilbore,mwilborem@gizmodo.com,Other local excision of lesion of duodenum
24,Maryellen,Fleay,mfleayn@digg.com,Refusion of atlas-axis spine
25,Kinsley,Targe,ktargeo@drupal.org,"Microscopic examination of specimen from other site, toxicology"
26,Ravi,Skacel,rskacelp@theatlantic.com,Removal of skeletal muscle stimulator
27,Inna,Outridge,ioutridgeq@freewebs.com,Augmentation genioplasty
28,Juliana,Wakeman,jwakemanr@who.int,Complete laryngectomy
29,Marilee,Melsom,mmelsoms@hugedomains.com,Intraoperative cardiac pacemaker
30,Ogden,Tunnock,otunnockt@dailymotion.com,Excision or destruction of lesion of cul-de-sac
